TFIDF score,words
0.12832257548310885,rapid
0.12832257548310885,staining imaging subnuclear features differentiate
0.12832257548310885,tissues point care
0.12832257548310885,point care setting
0.12832257548310885,rapid staining imaging subnuclear
0.12832257548310885,staining imaging subnuclear features
0.12832257548310885,imaging subnuclear features differentiate
0.12832257548310885,subnuclear features differentiate malignant
0.12832257548310885,features differentiate malignant benign
0.12832257548310885,differentiate malignant benign breast
0.12832257548310885,malignant benign breast tissues
0.12832257548310885,benign breast tissues point
0.12832257548310885,breast tissues point care
0.12832257548310885,tissues point care setting
0.12832257548310885,rapid staining imaging subnuclear features
0.12832257548310885,imaging subnuclear features differentiate malignant
0.12832257548310885,benign breast tissues
0.12832257548310885,subnuclear features differentiate malignant benign
0.12832257548310885,features differentiate malignant benign breast
0.12832257548310885,differentiate malignant benign breast tissues
0.12832257548310885,malignant benign breast tissues point
0.12832257548310885,benign breast tissues point care
0.12832257548310885,breast tissues point care setting
0.12832257548310885,rapid staining imaging subnuclear features differentiate
0.12832257548310885,staining imaging subnuclear features differentiate malignant
0.12832257548310885,imaging subnuclear features differentiate malignant benign
0.12832257548310885,subnuclear features differentiate malignant benign breast
0.12832257548310885,features differentiate malignant benign breast tissues
0.12832257548310885,differentiate malignant benign breast tissues point
0.12832257548310885,malignant benign breast tissues point care
0.12832257548310885,breast tissues point
0.12832257548310885,malignant benign breast
0.12832257548310885,staining
0.12832257548310885,features differentiate
0.12832257548310885,imaging
0.12832257548310885,subnuclear
0.12832257548310885,features
0.12832257548310885,differentiate
0.12832257548310885,tissues
0.12832257548310885,point
0.12832257548310885,care
0.12832257548310885,setting
0.12832257548310885,rapid staining
0.12832257548310885,staining imaging
0.12832257548310885,imaging subnuclear
0.12832257548310885,differentiate malignant benign
0.12832257548310885,subnuclear features
0.12832257548310885,differentiate malignant
0.12832257548310885,malignant benign
0.12832257548310885,benign breast
0.12832257548310885,breast tissues
0.12832257548310885,tissues point
0.12832257548310885,point care
0.12832257548310885,care setting
0.12832257548310885,rapid staining imaging
0.12832257548310885,staining imaging subnuclear
0.12832257548310885,imaging subnuclear features
0.12832257548310885,subnuclear features differentiate
0.12832257548310885,features differentiate malignant
0.12832257548310885,benign breast tissues point care setting
0.07725913815923244,benign
0.06893497661739399,malignant
0.03574901191028775,breast
